,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,available_date,lat_lon,closest_aldi,closest_sainsburys,closest_tesco,closest_superdrug,closest_asda,closest_lidl,closest_boots,minutes_from_TCR
0,1700,2 bedroom flat,"187 East India Dock Road, London E14",http://www.rightmove.co.uk/properties/124664594#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/ludlowthompson/Canada-Water-63765.html,E14,,2,2022-07-06 11:41:47.344563,2022-08-31 00:00:00.000000,"51.5115959,-0.01290972020586343",3.62,5.81,5.47,3.9,1.95,1.14,4.92,37.0
1,1560,1 bedroom flat,"Canning Road, Stratford, E15",http://www.rightmove.co.uk/properties/124711055#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Square-Quarters/Islington-76064.html,E15,,1,2022-07-06 11:41:47.344563,2022-02-09 00:00:00.000000,"51.5307903,0.0026687",4.83,5.61,6.82,5.17,2.91,2.83,6.11,32.0
2,1260,2 bedroom flat,"Artemis, Aphrodite Court, Stratford, E15",http://www.rightmove.co.uk/properties/124710401#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/LandQ/London-and-Quadrant-Housing-Trust-156386.html,E15,,2,2022-07-06 11:41:47.344563,2022-01-08 00:00:00.000000,"51.509648,-0.099076",4.29,1.4,0.67,0.56,2.81,2.27,1.26,22.0
3,1599,2 bedroom flat,Medway House,http://www.rightmove.co.uk/properties/124709954#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/1-Ability-Estate-Agents/London-181787.html,,,2,2022-07-06 11:41:47.344563,,"51.4997705,-0.08826375528163417",3.25,0.93,1.55,1.5,2.13,0.95,2.08,26.0
4,1650,1 bedroom flat,"Mowbray Road, Brondesbury, NW6",http://www.rightmove.co.uk/properties/124709951#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Paramount/London---Lettings-62636.html,NW6,,1,2022-07-06 11:41:47.344563,2022-08-20 00:00:00.000000,"51.5449551,-0.2077177",0.95,4.66,5.16,5.31,9.34,4.58,4.7,30.0
5,1600,1 bedroom apartment,Clapham Road,http://www.rightmove.co.uk/properties/124709855#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Barnard-Marcus-Lettings/Kennington-Lettings-50951.html,,,1,2022-07-06 11:41:47.344563,2022-07-28 00:00:00.000000,"51.4703448,-0.1247173",4.9,3.25,4.54,4.31,2.86,0.46,4.42,25.0
6,1700,1 bedroom flat,"Cromwell Road, South Kensington, SW7",http://www.rightmove.co.uk/properties/124709339#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Paramount/London---Lettings-62636.html,SW7,,1,2022-07-06 11:41:47.344563,2022-12-08 00:00:00.000000,"51.5359966,-0.2986809",7.14,10.96,11.52,10.64,12.16,10.96,10.6,42.0
7,1452,1 bedroom flat,"Canning Road, Stratford, E15",http://www.rightmove.co.uk/properties/124709165#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Square-Quarters/Islington-76064.html,E15,,1,2022-07-06 11:41:47.344563,2022-07-06 11:41:51.281486,"51.5307903,0.0026687",4.83,5.61,6.82,5.17,2.91,2.83,6.11,32.0
8,1550,1 bedroom flat,"Wellington Terrace, Notting Hill Gate, London",http://www.rightmove.co.uk/properties/124709042#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Regal-Estates/London-61854.html,,,1,2022-07-06 11:41:47.344563,2022-09-07 00:00:00.000000,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,15.0
9,1699,1 bedroom flat,"Mildmay Park, Islington, N1",http://www.rightmove.co.uk/properties/77583525#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Felicity-J-Lord/Islington-Lettings-79624.html,N1,,1,2022-07-06 11:41:47.344563,2022-02-09 00:00:00.000000,"51.5508167,-0.0848561",0.83,0.86,1.57,0.82,2.66,2.07,2.49,32.0
10,1452,1 bedroom flat,"Canning Road, Stratford, E15",http://www.rightmove.co.uk/properties/124707641#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Square-Quarters/Islington-76064.html,E15,,1,2022-07-06 11:41:47.344563,2022-07-06 11:41:53.273045,"51.5307903,0.0026687",4.83,5.61,6.82,5.17,2.91,2.83,6.11,32.0
11,1300,1 bedroom flat,"Otter Close, Stratford, London, E15",http://www.rightmove.co.uk/properties/124706555#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Inner-City-Estates/Bow-103850.html,E15,,1,2022-07-06 11:41:47.344563,2022-09-25 00:00:00.000000,"51.5339138,-0.0092162",4.17,4.72,6.16,4.52,2.44,2.55,5.42,35.0
12,1650,1 bedroom flat,Englands Lane Belsize Park NW3,http://www.rightmove.co.uk/properties/124190687#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Lettings/Belsize-Park-57940.html,NW3,,1,2022-07-06 11:41:47.344563,2022-08-30 00:00:00.000000,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,15.0
13,1250,1 bedroom flat,"North Hill, London, N6",http://www.rightmove.co.uk/properties/124704971#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,N6,,1,2022-07-06 11:41:47.344563,2022-08-16 00:00:00.000000,"51.5811093,-0.1549176",2.29,4.64,4.24,3.56,5.89,3.68,4.97,30.0
14,1495,2 bedroom flat,"Chopwell Close, Stratford. E15",http://www.rightmove.co.uk/properties/124704923#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Outlook/Stratford-Lettings-224522.html,E15,,2,2022-07-06 11:41:47.344563,2022-02-09 00:00:00.000000,"51.5391324,0.0029645",4.04,5.39,7.11,5.45,2.05,3.52,6.41,32.0
15,1560,1 bedroom flat,"Brixton Road, Oval",http://www.rightmove.co.uk/properties/124704806#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Keating-Estates/Brixton-106135.html,,,1,2022-07-06 11:41:47.344563,2022-07-29 00:00:00.000000,"51.4810144,-0.1108806",3.85,1.73,3.39,2.94,2.87,1.07,3.33,23.0
16,1400,2 bedroom flat,"High Road Leyton, London, E15",http://www.rightmove.co.uk/properties/106586873#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Hills-Estate/Ilford-152342.html,E15,,2,2022-07-06 11:41:47.344563,2022-01-08 00:00:00.000000,"51.574316,-0.010795",1.47,5.27,7.3,5.34,1.36,4.8,8.01,42.0
17,1550,2 bedroom flat,"Swan House, Stratford. E15",http://www.rightmove.co.uk/properties/124704461#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Outlook/Stratford-Lettings-224522.html,E15,,2,2022-07-06 11:41:47.344563,2022-08-31 00:00:00.000000,"51.496593,-0.194582",3.34,4.96,5.47,3.68,4.04,5.03,3.85,32.0
18,1500,1 bedroom flat,"West End Lane, West Hampstead, NW6",http://www.rightmove.co.uk/properties/124700870#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/ML-Estates/London-45180.html,NW6,,1,2022-07-06 11:41:47.344563,2023-05-07 00:00:00.000000,"51.5467548,-0.1911081",0.77,3.55,4.01,4.65,8.84,3.42,3.63,20.0
19,1450,2 bedroom flat,"Clementina Road, E10",http://www.rightmove.co.uk/properties/124700252#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Portico/Leyton-247505.html,E10,,2,2022-07-06 11:41:47.344563,2022-07-23 00:00:00.000000,"51.5658803,-0.0310646",0.36,3.58,5.62,3.65,1.87,3.23,6.38,50.0
20,1700,2 bedroom flat,"Kemerton Road, London, SE5",http://www.rightmove.co.uk/properties/124700102#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,SE5,,2,2022-07-06 11:41:47.344563,2022-07-25 00:00:00.000000,"51.46996,-0.138436",5.84,3.89,4.76,4.72,1.92,1.3,4.59,35.0
21,1695,1 bedroom apartment,"Dunstan House, Stepney Green, London, E1",http://www.rightmove.co.uk/properties/124699949#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Atkinson-McLeod/City---Lettings-40110.html,E1,,1,2022-07-06 11:41:47.344563,2022-07-10 00:00:00.000000,"51.519912,-0.04776",3.51,3.56,3.13,1.47,0.29,1.46,2.46,28.0
22,1650,1 bedroom flat,"Glengall Road, Kilburn, NW6",http://www.rightmove.co.uk/properties/124699850#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Paramount/London---Lettings-62636.html,NW6,,1,2022-07-06 11:41:47.344563,2022-08-27 00:00:00.000000,"51.5389957,-0.2010713",0.39,4.17,4.75,4.53,8.57,4.22,4.17,33.0
23,1750,1 bedroom flat,Mill Lane London NW6,http://www.rightmove.co.uk/properties/124699856#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Hamptons-Lettings/West-Hampstead-210116.html,NW6,,1,2022-07-06 11:41:47.344563,2022-07-15 00:00:00.000000,"51.551963,-0.1950933",1.28,3.97,4.34,5.27,8.93,3.73,4.09,25.0
24,1550,1 bedroom apartment,"Basset Court, Smithfield Square, Hornsey, N8",http://www.rightmove.co.uk/properties/124698707#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Philip-Alexander/N8-73781.html,N8,,1,2022-07-06 11:41:47.344563,2022-09-07 00:00:00.000000,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,15.0
25,1350,1 bedroom flat,"Telegraph Place, Isle Of Dogs, E14",http://www.rightmove.co.uk/properties/124690235#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Holland-Properties/London-36516.html,E14,,1,2022-07-06 11:41:47.344563,2022-09-16 00:00:00.000000,"51.4918184,-0.0193696",1.53,5.53,5.57,4.4,0.49,2.6,5.31,38.0
26,1400,1 bedroom flat,"Battersea, London, SW11",http://www.rightmove.co.uk/properties/124698674#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,SW11,,1,2022-07-06 11:41:47.344563,2022-01-08 00:00:00.000000,"51.464960500000004,-0.16078530016166082",6.66,5.42,5.88,5.52,0.3,2.95,5.66,35.0
27,1750,1 bedroom flat,"Wellesley Court, Maida Vale, W9",http://www.rightmove.co.uk/properties/123665951#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Home-Made-UK-Properties-Limited/London-156986.html,W9,,1,2022-07-06 11:41:47.344563,2022-07-22 00:00:00.000000,"51.382564,-0.2143031",15.38,14.83,15.74,15.31,9.82,12.04,15.54,55.0
28,1650,1 bedroom apartment,"Wayman Court, Eleanor Road, London, E8",http://www.rightmove.co.uk/properties/124695803#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Stirling-Ackroyd-Lettings/Hackney-77505.html,E8,,1,2022-07-06 11:41:47.344563,2022-07-06 11:42:00.557639,"51.5431195,-0.0589094",1.2,1.13,3.0,1.18,2.34,0.45,3.24,37.0
29,1560,1 bedroom flat,"Canning Road, Stratford, E15",http://www.rightmove.co.uk/properties/124695128#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Square-Quarters/Islington-76064.html,E15,,1,2022-07-06 11:41:47.344563,2022-07-06 11:42:00.907482,"51.5307903,0.0026687",4.83,5.61,6.82,5.17,2.91,2.83,6.11,32.0
30,1650,2 bedroom flat,"Hermitage Road, London, N4",http://www.rightmove.co.uk/properties/124695038#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/NowProperty/London-153164.html,N4,,2,2022-07-06 11:41:47.344563,2022-11-07 00:00:00.000000,"51.4171015,-0.0983481",7.48,8.63,10.55,10.05,7.09,6.47,10.48,55.0
31,1500,1 bedroom flat,"Transom Close, London, SE16",http://www.rightmove.co.uk/properties/124694666#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,SE16,,1,2022-07-06 11:41:47.344563,2022-01-09 00:00:00.000000,"51.4927389,-0.0364224",2.04,4.35,4.48,3.48,1.61,2.47,4.3,33.0
