,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,available_date,lat_lon,closest_aldi,closest_sainsburys,closest_tesco,closest_superdrug,closest_asda,closest_lidl,closest_boots,minutes_from_TCR
0,1600,1 bedroom flat,"Lucey Way, Bermondsey, London, SE16",http://www.rightmove.co.uk/properties/124692170#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/London-Bridge-55101.html,SE16,,1,2022-07-06 15:58:10.018939,,"51.4941013,-0.0652411",1.83,2.34,2.84,2.54,1.12,1.28,2.95,31
1,1450,1 bedroom flat,"Fernhead Road, London, W9",http://www.rightmove.co.uk/properties/124727102#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,W9,,1,2022-07-06 15:58:10.018939,2022-04-09 00:00:00.000000,"51.5325391,-0.2018797",0.97,4.32,4.97,4.18,7.9,4.28,4.07,31
2,1575,1 bedroom apartment,"Archway Road, London",http://www.rightmove.co.uk/properties/124726988#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/So-Home-London/London-79893.html,,,1,2022-07-06 15:58:10.018939,2022-01-10 00:00:00.000000,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,14
3,1625,2 bedroom apartment,"Kennington Road, London, SE1",http://www.rightmove.co.uk/properties/124726655#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Reeds-Rains-Lettings/Kennington-88613.html,SE1,,2,2022-07-06 15:58:10.018939,2022-12-08 00:00:00.000000,"51.49753925594739,-0.10667037930188301",4.11,0.63,1.74,1.08,2.94,1.75,1.67,22
4,1699,1 bedroom flat,"Jardine Road, Jardine Road",http://www.rightmove.co.uk/properties/124726319#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Dexters/Wapping-191255.html,,,1,2022-07-06 15:58:10.018939,,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,14
5,1400,2 bedroom flat,"Deanery Close, East Finchley, London N2",http://www.rightmove.co.uk/properties/124725632#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Relo-Redac-Strattons/Central-London-Hub-191426.html,N2,,2,2022-07-06 15:58:10.018939,2022-01-09 00:00:00.000000,"51.589277,-0.1656437",3.47,5.71,5.37,4.73,6.69,4.85,6.03,29
6,1460,2 bedroom apartment,"Hitard Court, Boyson Road, SE17",http://www.rightmove.co.uk/properties/124725407#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/LandQ/London-and-Quadrant-Housing-Trust-156386.html,SE17,,2,2022-07-06 15:58:10.018939,2022-01-08 00:00:00.000000,"51.509648,-0.099076",4.29,1.4,0.67,0.56,2.81,2.27,1.26,23
7,1575,1 bedroom flat,"Archway Road, London,  N6 ",http://www.rightmove.co.uk/properties/48844098#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Stoke-Newington-66539.html,N6,,1,2022-07-06 15:58:10.018939,2022-01-10 00:00:00.000000,"51.5723402,-0.1399488",0.9,3.56,3.03,2.14,4.79,2.26,3.9,29
8,1200,1 bedroom flat,"Gerry Raffles Square, Stratford, London, E15",http://www.rightmove.co.uk/properties/124725092#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Stratford-80281.html,E15,,1,2022-07-06 15:58:10.018939,,"51.542518099999995,0.0004784583913034387",3.64,5.17,7.05,5.23,1.63,3.72,6.4,30
9,400,1 bedroom flat,"Kensington High Street, London",http://www.rightmove.co.uk/properties/124724648#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Dexters/Kensington-94658.html,,,1,2022-07-06 15:58:10.018939,,"51.513263,-0.089878",3.82,1.3,0.13,0.33,2.05,2.43,0.72,14
10,1750,1 bedroom flat,"GFF, Richmond Road, London",http://www.rightmove.co.uk/properties/85698459#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Smartmove-Property/London-79896.html,,,1,2022-07-06 15:58:10.018939,2022-07-29 00:00:00.000000,"51.517344,-0.094739",3.5,0.74,0.47,0.71,2.2,2.95,0.82,14
11,1475,1 bedroom flat,"Harrow Road, London, W9",http://www.rightmove.co.uk/properties/113486207#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Leo-Newman/London-98603.html,W9,,1,2022-07-06 15:58:10.018939,2022-07-07 00:00:00.000000,"51.5226364,-0.1938626",1.28,4.17,4.91,3.22,6.68,3.94,3.17,29
12,1750,1 bedroom apartment,"Drake House, Victory Place, E14",http://www.rightmove.co.uk/properties/124723958#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Madley-Property/Surrey-Quays-228929.html,E14,,1,2022-07-06 15:58:10.018939,2022-08-19 00:00:00.000000,"51.51052825,-0.03537883928807446",3.8,4.75,3.92,2.4,1.64,0.64,3.42,30
13,1712,1 bedroom flat,"Southgate Road, London, N1",http://www.rightmove.co.uk/properties/124723847#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Quest-Property-Services/London-35843.html,N1,,1,2022-07-06 15:58:10.018939,2022-07-09 00:00:00.000000,"51.5465117,-0.0831336",0.54,0.67,1.42,0.61,2.99,2.14,2.21,31
14,1400,1 bedroom flat,"Makepeace Avenue, Highgate",http://www.rightmove.co.uk/properties/124724036#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Dexters/Highgate-18930.html,,,1,2022-07-06 15:58:10.018939,,"51.564633,-0.149665",1.09,2.77,2.42,2.24,5.54,1.99,3.1,35
15,1650,1 bedroom flat,"Commercial Road, London E1",http://www.rightmove.co.uk/properties/124722596#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/ludlowthompson/City-Docklands-5480.html,E1,,1,2022-07-06 15:58:10.018939,2022-08-20 00:00:00.000000,"51.5124164,-0.0319855",3.99,4.86,4.15,2.58,1.65,0.32,3.6,27
16,1600,2 bedroom flat,Shenley Road London SE5,http://www.rightmove.co.uk/properties/124722500#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Lettings/East-Dulwich-57994.html,SE5,,2,2022-07-06 15:58:10.018939,2022-09-07 00:00:00.000000,"51.47554315822922,-0.08792169923197445",2.28,2.26,4.23,3.75,1.6,1.84,4.44,37
17,1733,1 bedroom flat,"Heathway Court, Finchley Road, Hampstead, NW3",http://www.rightmove.co.uk/properties/124722497#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Abacus-Estates/West-Hampstead-London-26267.html,NW3,,1,2022-07-06 15:58:10.018939,2022-07-06 15:58:19.029751,"51.563914,-0.19622803126111202",2.61,4.65,4.82,5.39,8.75,4.2,4.84,31
18,1700,2 bedroom flat,"Brownswood Road, Finsbury Park",http://www.rightmove.co.uk/properties/124721807#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Alex-Crown-Lettings-and-Estate-Agents/Islington-102122.html,,,2,2022-07-06 15:58:10.018939,2022-01-09 00:00:00.000000,"51.564638,-0.11317",1.45,3.1,2.55,0.82,3.08,0.61,3.56,29
19,1650,1 bedroom flat,"Winchester Square, London, SE8",http://www.rightmove.co.uk/properties/124719839#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/VZ-Properties/Manchester-229262.html,SE8,,1,2022-07-06 15:58:10.018939,2022-08-19 00:00:00.000000,"51.506588449999995,-0.09111009891084207",3.95,1.43,0.77,0.97,2.57,1.73,1.41,22
20,1452,1 bedroom flat,"Rotherhithe Street, Rotherhithe",http://www.rightmove.co.uk/properties/124721117#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Dexters/Tower-Bridge-43812.html,,,1,2022-07-06 15:58:10.018939,,"51.5008048,-0.033336",2.88,4.6,4.29,3.02,1.58,1.55,3.96,34
21,1500,2 bedroom flat,"Seymour Road, London, E10",http://www.rightmove.co.uk/properties/124720376#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Central-Estate-Agents/Leytonstone-239399.html,E10,,2,2022-07-06 15:58:10.018939,2022-07-16 00:00:00.000000,"51.56895140323132,-0.014092132291002896",1.11,4.76,6.82,4.83,1.49,4.19,7.4,42
22,1400,2 bedroom flat,"HENLEY LODGE, WILLOW WALK , Walthamstow, E17",http://www.rightmove.co.uk/properties/124720250#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Holdens-Property-Services/Ilford-43614.html,E17,,2,2022-07-06 15:58:10.018939,2022-07-18 00:00:00.000000,"51.534694,-0.101681",2.24,0.32,0.14,0.43,2.95,2.7,0.38,23
23,1500,2 bedroom apartment,"Gaselee Street, Blackwall, London, E14",http://www.rightmove.co.uk/properties/124719980#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/Stirling-Ackroyd-Lettings/Canary-Wharf-209807.html,E14,,2,2022-07-06 15:58:10.018939,2022-11-08 00:00:00.000000,"51.5067673,-0.0070459",3.09,6.48,5.92,4.4,1.47,1.73,5.43,32
24,1400,1 bedroom apartment,"High Road, Wood Green",http://www.rightmove.co.uk/properties/124719545#/?channel=RES_LET,http://www.rightmove.co.uk/estate-agents/agent/mi-homes/London-153011.html,,,1,2022-07-06 15:58:10.018939,2022-07-06 15:58:21.461124,"51.5786193,-0.0730484",1.66,3.45,4.58,1.72,0.63,2.65,5.58,29
